,Nr. crt.,Județ,Număr de cazuri confirmate(total),Număr de cazuri nou confirmate,Incidența  înregistrată la 14 zile
125,42.,Mun.București,340.948,2502,"9,50"
126,1.,Alba,13462,45,"1,62"
127,2.,Arad,15386,53,"1,32"
128,3.,Argeș,19973,32,"0,9"
129,4.,Bacău,18232,60,"1,37"
130,5.,Bihor,19586,70,"1,62"
131,6.,Bistrița-Năsăud,8061,25,"1,09"
132,7.,Botoșani,9446,68,"1,49"
133,8.,Brașov,27907,86,"2,21"
134,9.,Brăila,9177,22,"1,46"
135,10.,Buzău,8836,11,"0,53"
136,11.,Caraș-Severin,7456,80,"1,85"
137,12.,Călărași,6972,18,"1,03"
138,13.,Cluj,34388,166,"3,01"
139,14.,Constanța,29240,65,"1,91"
140,15.,Covasna,5442,9,"0,88"
141,16.,Dâmbovița,16172,54,"1,23"
142,17.,Dolj,16955,69,"1,34"
143,18.,Galați,18326,121,"1,73"
144,19.,Giurgiu,7122,17,"1,19"
145,20.,Gorj,5564,19,"0,8"
146,21.,Harghita,5687,13,"0,61"
147,22.,Hunedoara,13098,62,"1,38"
148,23.,Ialomița,7463,12,"0,94"
149,24.,Iași,30490,103,"0,79"
150,25.,Ilfov,27736,141,"2,96"
151,26.,Maramureș,12779,125,"2,53"
152,27.,Mehedinți,5443,10,"0,81"
153,28.,Mureș,16321,52,"1,06"
154,29.,Neamț,12307,86,"1,35"
155,30.,Olt,10352,24,"0,59"
156,31.,Prahova,25582,66,"0,96"
157,32.,SatuMare,8042,40,"1,72"
158,33.,Sălaj,6938,45,"1,9"
159,34.,Sibiu,18186,49,"1,27"
160,35.,Suceava,18098,146,"1,87"
161,36.,Teleorman,8712,33,"1,22"
162,37.,Timiș,30959,169,"3,63"
163,38.,Tulcea,5955,26,"1,1"
164,39.,Vaslui,11696,49,"1,28"
165,40.,Vâlcea,10791,5,"1,29"
166,41.,Vrancea,7614,23,"0,6"
167,42.,Mun.București,115190,505,"2,4"
168,1.,Alba,13498,36,"1,53"
169,2.,Arad,15413,27,"1,38"
170,3.,Argeș,19996,23,"0,86"
171,4.,Bacău,18295,63,"1,35"
172,5.,Bihor,19659,73,"1,61"
173,6.,Bistrița-Năsăud,8079,18,"1,05"
174,7.,Botoșani,9477,31,"1,5"
175,8.,Brașov,28023,116,"2,25"
176,9.,Brăila,9191,14,"1,43"
177,10.,Buzău,8850,14,"0,52"
178,11.,Caraș-Severin,7483,27,"1,86"
179,12.,Călărași,6981,9,"1,02"
180,13.,Cluj,34476,88,"2,9"
181,14.,Constanța,29284,44,"1,83"
182,15.,Covasna,5457,15,"0,89"
183,16.,Dâmbovița,16214,42,"1,23"
184,17.,Dolj,17034,79,"1,25"
185,18.,Galați,18366,40,"1,68"
186,19.,Giurgiu,7173,51,"1,26"
187,20.,Gorj,5574,10,"0,76"
188,21.,Harghita,5693,6,"0,59"
189,22.,Hunedoara,13156,58,"1,33"
190,23.,Ialomița,7481,18,"0,87"
191,24.,Iași,30584,94,"0,8"
192,25.,Ilfov,27788,52,"2,91"
193,26.,Maramureș,12845,66,"2,47"
194,27.,Mehedinți,5457,14,"0,8"
195,28.,Mureș,16354,33,"1,06"
196,29.,Neamț,12343,36,"1,24"
197,30.,Olt,10376,24,"0,58"
198,31.,Prahova,25607,25,"0,93"
199,32.,SatuMare,8068,26,"1,67"
200,33.,Sălaj,6971,33,"1,85"
201,34.,Sibiu,18213,27,"1,23"
202,35.,Suceava,18181,83,"1,87"
203,36.,Teleorman,8715,3,"1,2"
204,37.,Timiș,31086,127,"3,52"
205,38.,Tulcea,5974,19,"1,09"
206,39.,Vaslui,11721,25,"1,2"
207,40.,Vâlcea,10834,43,"1,23"
208,41.,Vrancea,7631,17,"0,6"
209,42.,Mun.București,115532,342,"2,37"
210,1.,Alba,13532,34,"1,56"
211,2.,Arad,15431,18,"1,35"
212,3.,Argeș,20016,20,"0,83"
213,4.,Bacău,18332,37,"1,35"
214,5.,Bihor,19695,36,"1,58"
215,6.,Bistrița-Năsăud,8089,10,"1,08"
216,7.,Botoșani,9512,35,"1,53"
217,8.,Brașov,28064,41,"2,2"
218,9.,Brăila,9197,6,"1,31"
219,10.,Buzău,8874,24,"0,54"
220,11.,Caraș-Severin,7505,22,"1,82"
221,12.,Călărași,7002,21,"0,85"
222,13.,Cluj,34710,234,"3,07"
223,14.,Constanța,29409,125,"1,86"
224,15.,Covasna,5464,7,"0,78"
225,16.,Dâmbovița,16256,42,"1,15"
226,17.,Dolj,17054,20,"1,29"
227,18.,Galați,18410,44,"1,54"
228,19.,Giurgiu,7176,3,"1,17"
229,20.,Gorj,5583,9,"0,75"
230,21.,Harghita,5712,19,"0,62"
231,22.,Hunedoara,13173,17,"1,45"
232,23.,Ialomița,7497,16,"0,9"
233,24.,Iași,30642,58,"0,71"
234,25.,Ilfov,27938,150,"2,85"
235,26.,Maramureș,12916,71,"2,47"
236,27.,Mehedinți,5475,18,"0,81"
237,28.,Mureș,16377,23,"1,04"
238,29.,Neamț,12380,37,"1,26"
239,30.,Olt,10391,15,"0,56"
240,31.,Prahova,25651,44,"0,92"
241,32.,SatuMare,8098,30,"1,66"
242,33.,Sălaj,6982,11,"1,85"
243,34.,Sibiu,18266,53,"1,14"
244,35.,Suceava,18203,22,"1,88"
245,36.,Teleorman,8731,16,"1,21"
246,37.,Timiș,31212,126,"3,48"
247,38.,Tulcea,5991,17,"1,02"
248,39.,Vaslui,11759,38,"1,2"
249,40.,Vâlcea,10850,16,"1,18"
250,41.,Vrancea,7640,9,"0,61"
251,42.,Mun.București,115932,400,"2,32"
252,1.,Alba,13567,35,"1,53"
253,2.,Arad,15478,47,"1,25"
254,3.,Argeș,20049,33,"0,78"
255,4.,Bacău,18399,67,"1,32"
256,5.,Bihor,19760,65,"1,55"
257,6.,Bistrița-Năsăud,8109,20,"1,06"
258,7.,Botoșani,9583,71,"1,54"
259,8.,Brașov,28196,132,"2,11"
260,9.,Brăila,9213,16,"1,06"
261,10.,Buzău,8888,14,"0,53"
262,11.,Caraș-Severin,7514,9,"1,58"
263,12.,Călărași,7017,15,"0,86"
264,13.,Cluj,34786,76,"2,79"
265,14.,Constanța,29485,76,"1,77"
266,15.,Covasna,5475,11,"0,72"
267,16.,Dâmbovița,16315,59,"1,13"
268,17.,Dolj,17117,63,"1,25"
269,18.,Galați,18502,92,"1,56"
270,19.,Giurgiu,7201,25,"1,13"
271,20.,Gorj,5614,31,"0,75"
272,21.,Harghita,5729,17,"0,62"
273,22.,Hunedoara,13249,76,"1,34"
274,23.,Ialomița,7517,20,"0,91"
275,24.,Iași,30751,109,"0,71"
276,25.,Ilfov,28016,78,"2,83"
277,26.,Maramureș,13049,133,"2,55"
278,27.,Mehedinți,5494,19,"0,81"
279,28.,Mureș,16420,43,"0,98"
280,29.,Neamț,12435,55,"1,24"
281,30.,Olt,10421,30,"0,53"
282,31.,Prahova,25722,71,"0,9"
283,32.,SatuMare,8157,59,"1,73"
284,33.,Sălaj,7011,29,"1,87"
285,34.,Sibiu,18294,28,"1,2"
286,35.,Suceava,18315,112,"1,82"
287,36.,Teleorman,8797,66,"1,19"
288,37.,Timiș,31386,174,"3,42"
289,38.,Tulcea,6003,12,"0,93"
290,39.,Vaslui,11791,32,"1,11"
291,40.,Vâlcea,10899,49,"1,16"
292,41.,Vrancea,7661,21,"0,6"
293,42.,Mun.București,116242,310,"2,24"
294,1.,Alba,13621,54,"1,48"
295,2.,Arad,15520,42,"1,16"
296,3.,Argeș,20097,48,"0,78"
297,4.,Bacău,18447,48,"1,24"
298,5.,Bihor,19836,76,"1,51"
299,6.,Bistrița-Năsăud,8144,35,"1,00"
300,7.,Botoșani,9637,54,"1,53"
301,8.,Brașov,28363,167,"2,15"
302,9.,Brăila,9242,29,"1,00"
303,10.,Buzău,8903,15,"0,48"
304,11.,Caraș-Severin,7553,39,"1,51"
305,12.,Călărași,7074,57,"0,87"
306,13.,Cluj,34984,198,"2,71"
307,14.,Constanța,29623,138,"1,74"
308,15.,Covasna,5496,21,"0,71"
309,16.,Dâmbovița,16363,48,"1,08"
310,17.,Dolj,17186,69,"1,15"
311,18.,Galați,18595,93,"1,49"
312,19.,Giurgiu,7208,7,"1,12"
313,20.,Gorj,5638,24,"0,77"
314,21.,Harghita,5757,28,"0,63"
315,22.,Hunedoara,13352,103,"1,29"
316,23.,Ialomița,7559,42,"0,95"
317,24.,Iași,30858,107,"0,63"
318,25.,Ilfov,28095,79,"2,7"
319,26.,Maramureș,13192,143,"2,57"
320,27.,Mehedinți,5515,21,"0,81"
321,28.,Mureș,16496,76,"1,02"
322,29.,Neamț,12502,67,"1,23"
323,30.,Olt,10453,32,"0,52"
324,31.,Prahova,25808,86,"0,91"
325,32.,SatuMare,8204,47,"1,69"
326,33.,Sălaj,7064,53,"1,9"
327,34.,Sibiu,18342,48,"1,13"
328,35.,Suceava,18443,128,"1,84"
329,36.,Teleorman,8847,50,"1,23"
330,37.,Timiș,31631,245,"3,36"
331,38.,Tulcea,6023,20,"0,85"
332,39.,Vaslui,11857,66,"1,13"
333,40.,Vâlcea,10922,23,"1,2"
334,41.,Vrancea,7679,18,"0,53"
335,42.,Mun.București,116618,376,"2,07"
